Date,Location,Import Oils,Import Animal Products,Import Processed Food,Import Vegetable Products,Price Oils,Price Animal Products,Price Processed Food,Price Vegetable Products
2018-01-01,British Columbia,5780.0,40368.0,129851.0,123198.0,8.556666666666667,6.231601851851853,3.910833333333333,3.2505128205128204
2018-01-01,Canada,45176.0,224686.0,1139887.0,561648.0,7.056666666666666,5.8973611111111115,3.6525000000000003,3.1171794871794876
2018-01-01,Manitoba,11778.0,5324.0,65976.0,22863.0,8.313333333333333,5.835277777777778,3.630555555555555,3.173076923076923
2018-01-01,New Brunswick,649.0,10061.0,8355.0,4854.0,8.77,5.795,3.7447222222222223,3.459230769230769
2018-01-01,Newfoundland and Labrador,0.0,0.0,2.0,0.0,8.793333333333333,5.973941176470588,3.7655555555555558,3.767179487179487
2018-01-01,Nova Scotia,0.0,17.0,1216.0,176.0,8.75,5.747361111111111,3.7569444444444446,3.427692307692308
2018-01-01,Ontario,21815.0,145570.0,770521.0,319460.0,6.56,5.9378518518518515,3.518888888888889,3.042051282051282
2018-01-01,Prince Edward Island,0.0,6.0,40.0,0.0,8.62,5.81612962962963,3.631111111111111,3.4351282051282053
2018-01-01,Quebec,2132.0,7916.0,62451.0,28570.0,7.443333333333334,6.0272499999999996,3.6422222222222222,3.1453846153846152
2018-01-01,Saskatchewan,1647.0,7304.0,30779.0,8237.0,8.4,5.862351851851852,3.67,3.1923076923076925
2018-02-01,Alberta,1151.0,6768.0,64005.0,53882.0,7.696666666666666,6.195648148148148,3.8272222222222223,3.1528205128205125
2018-02-01,British Columbia,5357.0,43505.0,121490.0,114083.0,7.973333333333334,6.253277777777778,3.8983333333333334,3.2297435897435895
2018-02-01,Canada,36600.0,232115.0,1114962.0,553465.0,6.580000000000001,5.961749999999999,3.6333333333333337,3.0025641025641026
2018-02-01,Manitoba,2157.0,5124.0,55866.0,24626.0,7.69,5.86712962962963,3.641388888888889,3.151794871794872
2018-02-01,New Brunswick,807.0,18374.0,7605.0,5335.0,8.613333333333333,5.836731481481482,3.779166666666667,3.3135897435897435
2018-02-01,Newfoundland and Labrador,0.0,0.0,0.0,0.0,8.540000000000001,5.949549019607843,3.765833333333333,3.5825641025641026
2018-02-01,Nova Scotia,0.0,91.0,718.0,116.0,8.443333333333333,5.7395555555555555,3.7902777777777774,3.2607692307692306
2018-02-01,Ontario,24742.0,139758.0,766724.0,318917.0,6.236666666666667,6.020175925925926,3.496388888888889,2.904358974358974
2018-02-01,Prince Edward Island,0.0,16.0,0.0,0.0,8.313333333333334,5.792972222222222,3.683888888888889,3.2884615384615383
2018-02-01,Quebec,890.0,9338.0,70717.0,27483.0,7.6866666666666665,6.068037037037037,3.654166666666667,3.04974358974359
2018-02-01,Saskatchewan,1495.0,8849.0,27838.0,9023.0,7.906666666666667,5.870703703703704,3.639444444444445,3.1456410256410257
2018-03-01,Alberta,1560.0,10159.0,88277.0,68294.0,7.543333333333333,6.181583333333332,3.855,3.094102564102564
2018-03-01,British Columbia,4718.0,40934.0,144589.0,148597.0,7.906666666666666,6.371879629629629,3.9000000000000004,3.182051282051282
2018-03-01,Canada,37535.0,274116.0,1287087.0,662592.0,6.366666666666667,5.966064814814815,3.673333333333334,2.9892307692307694
2018-03-01,Manitoba,2792.0,7359.0,69751.0,28643.0,7.523333333333333,5.92212037037037,3.6630555555555557,3.0823076923076926
2018-03-01,New Brunswick,951.0,26235.0,9057.0,4882.0,8.709999999999999,5.823648148148148,3.828333333333333,3.3284615384615384
2018-03-01,Newfoundland and Labrador,0.0,361.0,1.0,0.0,8.796666666666667,5.806441176470589,3.8630555555555555,3.6030769230769235
2018-03-01,Nova Scotia,0.0,85.0,1341.0,136.0,8.73,5.771046296296296,3.851944444444445,3.2810256410256406
2018-03-01,Ontario,24557.0,163857.0,868031.0,371509.0,6.706666666666666,5.953453703703704,3.537777777777778,2.9256410256410255
2018-03-01,Prince Edward Island,0.0,17.0,40.0,0.0,8.593333333333334,5.8920925925925935,3.7411111111111115,3.2851282051282054
2018-03-01,Quebec,1049.0,10416.0,72092.0,31076.0,7.036666666666666,6.122953703703704,3.7077777777777774,2.97974358974359
2018-03-01,Saskatchewan,1908.0,14279.0,33909.0,9455.0,7.796666666666667,5.8821666666666665,3.6775,3.100769230769231
2018-04-01,Alberta,1691.0,8023.0,73160.0,70212.0,8.34,6.410796296296296,3.889444444444445,3.0864102564102565
2018-04-01,British Columbia,4321.0,33275.0,140422.0,142570.0,8.653333333333334,6.492092592592593,3.9322222222222223,3.1858974358974357
2018-04-01,Canada,33489.0,256347.0,1207696.0,641472.0,7.0,6.024046296296296,3.710555555555555,3.056153846153846
2018-04-01,Manitoba,2476.0,5189.0,61475.0,29786.0,8.323333333333332,6.105296296296297,3.716666666666667,3.0617948717948718
2018-04-01,New Brunswick,1354.0,18130.0,9108.0,6569.0,8.926666666666668,5.936805555555555,3.8230555555555554,3.3825641025641024
2018-04-01,Newfoundland and Labrador,0.0,747.0,0.0,0.0,8.99,5.959078431372549,3.8649999999999998,3.637692307692308
2018-04-01,Nova Scotia,0.0,10.0,1566.0,455.0,8.916666666666666,5.849490740740741,3.8249999999999997,3.3364102564102565
2018-04-01,Ontario,20912.0,170332.0,817326.0,355671.0,6.316666666666666,6.09525925925926,3.591666666666667,3.0076923076923077
2018-04-01,Prince Edward Island,0.0,404.0,238.0,0.0,8.936666666666667,5.943064814814814,3.7455555555555557,3.351794871794872
2018-04-01,Quebec,1090.0,8773.0,69169.0,25044.0,7.7,6.118453703703704,3.7275,3.074871794871795
2018-04-01,Saskatchewan,1644.0,10226.0,35233.0,11164.0,8.256666666666666,6.086824074074074,3.702777777777778,3.096923076923077
2018-05-01,Alberta,1704.0,11333.0,82393.0,85066.0,8.236666666666666,6.397657407407407,3.8794444444444443,3.1412820512820514
2018-05-01,British Columbia,4863.0,34441.0,155848.0,156933.0,8.446666666666667,6.418925925925926,3.926388888888889,3.2243589743589745
2018-05-01,Canada,36171.0,288817.0,1334398.0,737492.0,6.98,6.0929166666666665,3.7208333333333337,3.0866666666666664
2018-05-01,Manitoba,2866.0,8145.0,64813.0,35904.0,8.28,6.069481481481481,3.710277777777778,3.1174358974358976
2018-05-01,New Brunswick,925.0,22923.0,9062.0,7331.0,8.549999999999999,5.923101851851851,3.8755555555555556,3.3658974358974363
2018-05-01,Newfoundland and Labrador,0.0,68.0,0.0,0.0,8.606666666666667,5.971539215686274,3.904722222222222,3.6541025641025637
2018-05-01,Nova Scotia,0.0,10.0,1774.0,5223.0,8.573333333333332,5.787712962962963,3.8802777777777777,3.347692307692308
2018-05-01,Ontario,23013.0,187731.0,896928.0,407633.0,6.62,6.1329722222222225,3.5930555555555554,3.014615384615385
2018-05-01,Prince Edward Island,0.0,315.0,111.0,0.0,8.593333333333332,5.884685185185186,3.772777777777778,3.3641025641025637
2018-05-01,Quebec,1392.0,11428.0,88087.0,28650.0,7.22,6.1463425925925925,3.7600000000000002,3.1599999999999997
2018-05-01,Saskatchewan,1407.0,10017.0,35381.0,10751.0,8.290000000000001,5.989953703703704,3.7383333333333337,3.1335897435897437
2018-06-01,Alberta,1505.0,9986.0,81278.0,95437.0,7.633333333333333,6.371972222222222,3.842777777777778,3.206153846153846
2018-06-01,British Columbia,4859.0,36160.0,163754.0,179972.0,7.883333333333333,6.498907407407407,3.8930555555555557,3.2974358974358973
2018-06-01,Canada,35601.0,281431.0,1348399.0,807382.0,6.776666666666666,6.126898148148148,3.708888888888889,3.1682051282051282
2018-06-01,Manitoba,2242.0,6521.0,69968.0,36047.0,7.670000000000001,6.085249999999999,3.654166666666667,3.1841025641025644
